id_scal;scenario_key;name;var_name;carrier;region;tech;type;var_value;var_unit;source;comment
138;2045_scenario;r120670201201-electricity-heatpump_central;capacity_potential;electricity;r120670201201;heatpump_central;conversion;;MW;;Empty
139;2045_scenario;;carrier_cost;electricity;ALL;heatpump_central;conversion;0.0;Eur/MWh;From original raw_cost_eff:;Zero
140;2045_scenario;;expandable;electricity;ALL;heatpump_central;conversion;true;;;
141;2045_scenario;;marginal_cost;electricity;ALL;heatpump_central;conversion;1.79;EUR/MWh;"Digiplan-Empowerplan: technology_data_for_el_and_dh.xlsx; 40 Comp. hp; airsource 10 MW";"1;69*1;0582"
142;2045_scenario;r120640428428-electricity-heatpump_decentral;capacity;electricity;r120640428428;heatpump_decentral;conversion;0.0;MW;;Zero
143;2045_scenario;r120640472472-electricity-heatpump_decentral;capacity;electricity;r120640472472;heatpump_decentral;conversion;0.0;MW;;Zero
144;2045_scenario;r120670124124-electricity-heatpump_decentral;capacity;electricity;r120670124124;heatpump_decentral;conversion;0.0;MW;;Zero
145;2045_scenario;r120670201201-electricity-heatpump_decentral;capacity;electricity;r120670201201;heatpump_decentral;conversion;0.0;MW;;Zero
146;2045_scenario;;capacity_cost;electricity;ALL;heatpump_decentral;conversion;108377.5229273683;;;
147;2045_scenario;r120640428428-electricity-heatpump_decentral;capacity_potential;electricity;r120640428428;heatpump_decentral;conversion;;MW;;Empty
148;2045_scenario;r120640472472-electricity-heatpump_decentral;capacity_potential;electricity;r120640472472;heatpump_decentral;conversion;;MW;;Empty
149;2045_scenario;r120670124124-electricity-heatpump_decentral;capacity_potential;electricity;r120670124124;heatpump_decentral;conversion;;MW;;Empty
150;2045_scenario;r120670201201-electricity-heatpump_decentral;capacity_potential;electricity;r120670201201;heatpump_decentral;conversion;;MW;;Empty
151;2045_scenario;;carrier_cost;electricity;ALL;heatpump_decentral;conversion;0.0;Eur/MWh;From original raw_cost_eff:;Zero
152;2045_scenario;;expandable;electricity;ALL;heatpump_decentral;conversion;true;;;
153;2045_scenario;;marginal_cost;electricity;ALL;heatpump_decentral;conversion;0.0;EUR/MWh;"Digiplan-Empowerplan: technologie_data_heating_installations_-_0003.xlsx; 207";siehe heatpump_small_script
154;2045_scenario;r120640428428-electricity-heatpump_heat_high;capacity;electricity;r120640428428;heatpump_heat_high;conversion;0.0;MW;;Zero
155;2045_scenario;r120640472472-electricity-heatpump_heat_high;capacity;electricity;r120640472472;heatpump_heat_high;conversion;0.0;MW;;Zero
156;2045_scenario;r120670124124-electricity-heatpump_heat_high;capacity;electricity;r120670124124;heatpump_heat_high;conversion;0.0;MW;;Zero
157;2045_scenario;r120670201201-electricity-heatpump_heat_high;capacity;electricity;r120670201201;heatpump_heat_high;conversion;0.0;MW;;Zero
